"","mean","image_date","band"
"MOD13A3_NDVI_2020_001",0.476188708372605,2020-01-01,"NDVI"
"MYD13A3_NDVI_2020_001",0.480905882255517,2020-01-01,"NDVI"
"MOD13A3_NDVI_2020_032",0.458423946508159,2020-02-01,"NDVI"
"MYD13A3_NDVI_2020_032",0.471825532022739,2020-02-01,"NDVI"
"MOD13A3_NDVI_2020_061",0.538083604514642,2020-03-01,"NDVI"
"MYD13A3_NDVI_2020_061",0.530303323297953,2020-03-01,"NDVI"
"MOD13A3_NDVI_2020_092",0.600554429055487,2020-04-01,"NDVI"
"MYD13A3_NDVI_2020_092",0.597442650423683,2020-04-01,"NDVI"
"MOD13A3_NDVI_2020_122",0.704914114812547,2020-05-01,"NDVI"
"MYD13A3_NDVI_2020_122",0.70520020849348,2020-05-01,"NDVI"
"MOD13A3_NDVI_2020_153",0.780121833013487,2020-06-01,"NDVI"
"MYD13A3_NDVI_2020_153",0.777637268619011,2020-06-01,"NDVI"
"MOD13A3_NDVI_2020_183",0.790919663716367,2020-07-01,"NDVI"
"MYD13A3_NDVI_2020_183",0.788337866620665,2020-07-01,"NDVI"
"MOD13A3_NDVI_2020_214",0.798001961007832,2020-08-01,"NDVI"
"MYD13A3_NDVI_2020_214",0.783002447582985,2020-08-01,"NDVI"
"MOD13A3_NDVI_2020_245",0.79351328058885,2020-09-01,"NDVI"
"MYD13A3_NDVI_2020_245",0.781497065852869,2020-09-01,"NDVI"
"MOD13A3_NDVI_2020_275",0.749135697863767,2020-10-01,"NDVI"
"MYD13A3_NDVI_2020_275",0.702342344767866,2020-10-01,"NDVI"
"MOD13A3_NDVI_2020_306",0.677541718598336,2020-11-01,"NDVI"
"MYD13A3_NDVI_2020_306",0.63699180942882,2020-11-01,"NDVI"
"MOD13A3_NDVI_2020_336",0.723541621528075,2020-12-01,"NDVI"
"MYD13A3_NDVI_2020_336",0.624241649427595,2020-12-01,"NDVI"
